epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5881.83,0.85289,0.53994,0.91724,0.8669,0.79813,0.86548,0.60946,0.82642,0.50204,0.92492,0.000494885,0.000494885,0.000494885
43,6022.61,0.85174,0.53928,0.91892,0.88212,0.77381,0.87311,0.61152,0.82207,0.495,0.92391,0.000486639,0.000486639,0.000486639
44,6163.96,0.84795,0.53035,0.91501,0.85871,0.80523,0.86603,0.61277,0.81677,0.4882,0.92104,0.000478392,0.000478392,0.000478392
45,6303.51,0.84476,0.53319,0.91402,0.88542,0.78382,0.87102,0.61556,0.82433,0.49217,0.9257,0.000470145,0.000470145,0.000470145
46,6442.69,0.84126,0.52891,0.91529,0.85235,0.78942,0.86668,0.61322,0.81297,0.48684,0.92328,0.000461898,0.000461898,0.000461898
47,6579.54,0.83833,0.52904,0.91423,0.88916,0.78083,0.86353,0.61758,0.81281,0.48879,0.91907,0.000453652,0.000453652,0.000453652
48,6718.62,0.83461,0.52553,0.91228,0.88,0.79172,0.87294,0.61438,0.81099,0.48621,0.91912,0.000445405,0.000445405,0.000445405
49,6856.77,0.82953,0.52073,0.91071,0.88546,0.79616,0.87493,0.62546,0.80731,0.47984,0.91613,0.000437158,0.000437158,0.000437158
50,6995.06,0.83429,0.52393,0.91164,0.88,0.80393,0.88024,0.62311,0.80721,0.48013,0.91918,0.000428912,0.000428912,0.000428912
51,7133.53,0.82509,0.51788,0.91075,0.8629,0.81361,0.87826,0.6301,0.7993,0.47797,0.91575,0.000420665,0.000420665,0.000420665
52,7273.46,0.82475,0.51902,0.9084,0.87497,0.81225,0.8809,0.62466,0.79763,0.47568,0.9149,0.000412418,0.000412418,0.000412418
53,7414.96,0.81549,0.51283,0.90529,0.86241,0.81592,0.87608,0.6283,0.78967,0.47325,0.91257,0.000404172,0.000404172,0.000404172
54,7553.85,0.80981,0.50507,0.90436,0.87139,0.80992,0.88165,0.63644,0.78896,0.46756,0.91282,0.000395925,0.000395925,0.000395925
55,7691.89,0.81165,0.50969,0.90363,0.86875,0.81348,0.88103,0.63654,0.78481,0.46965,0.91005,0.000387678,0.000387678,0.000387678
56,7829.7,0.80206,0.50221,0.90194,0.88844,0.81862,0.88856,0.64167,0.7862,0.46914,0.90986,0.000379431,0.000379431,0.000379431
57,7970.21,0.801,0.49843,0.90077,0.87622,0.81685,0.88441,0.63424,0.78577,0.46534,0.90968,0.000371185,0.000371185,0.000371185
58,8108.03,0.79881,0.49968,0.89984,0.86651,0.81133,0.88151,0.63892,0.78469,0.46479,0.9102,0.000362938,0.000362938,0.000362938
59,8246.01,0.79849,0.49823,0.90205,0.8797,0.80314,0.88548,0.64115,0.7794,0.46138,0.91031,0.000354691,0.000354691,0.000354691
60,8384,0.79767,0.49756,0.89965,0.86849,0.79831,0.8831,0.64259,0.77657,0.4627,0.90522,0.000346445,0.000346445,0.000346445
61,8522.98,0.78996,0.49255,0.89709,0.88256,0.79953,0.8818,0.64156,0.77139,0.45836,0.90654,0.000338198,0.000338198,0.000338198
62,8663.97,0.78537,0.48951,0.89637,0.86325,0.80446,0.87641,0.64272,0.77256,0.46002,0.9073,0.000329951,0.000329951,0.000329951
63,8804.61,0.7861,0.48828,0.89784,0.87671,0.81715,0.88995,0.65199,0.7713,0.45586,0.90615,0.000321705,0.000321705,0.000321705
64,8944.12,0.78446,0.48857,0.89715,0.86917,0.81365,0.88365,0.64816,0.76699,0.4555,0.9051,0.000313458,0.000313458,0.000313458
65,9081.9,0.78105,0.48576,0.89574,0.89348,0.7942,0.87921,0.64854,0.76494,0.45295,0.90405,0.000305211,0.000305211,0.000305211
66,9220.45,0.77509,0.48187,0.89373,0.87134,0.82034,0.88832,0.65235,0.76634,0.45405,0.90568,0.000296964,0.000296964,0.000296964
67,9359.2,0.77851,0.48437,0.89405,0.87694,0.82811,0.89524,0.65391,0.76397,0.45093,0.90473,0.000288718,0.000288718,0.000288718
68,9497.42,0.77457,0.47971,0.89242,0.86735,0.82165,0.88485,0.64853,0.76255,0.45125,0.90384,0.000280471,0.000280471,0.000280471
69,9636.97,0.7682,0.47705,0.89082,0.88785,0.80716,0.89165,0.66029,0.75682,0.44881,0.90149,0.000272224,0.000272224,0.000272224
70,9774.97,0.76367,0.47452,0.89056,0.86958,0.84111,0.89547,0.66055,0.7581,0.4477,0.90203,0.000263978,0.000263978,0.000263978
71,9914.34,0.76219,0.47171,0.88964,0.88701,0.81583,0.89546,0.66155,0.75557,0.44569,0.90161,0.000255731,0.000255731,0.000255731
72,10052.5,0.76333,0.47418,0.89148,0.88692,0.81369,0.89445,0.65991,0.75463,0.44391,0.9017,0.000247484,0.000247484,0.000247484
73,10189.3,0.75757,0.46951,0.88861,0.91466,0.79132,0.89538,0.66687,0.75033,0.44115,0.90099,0.000239238,0.000239238,0.000239238
74,10328.4,0.76015,0.47209,0.88853,0.87857,0.8166,0.89239,0.66539,0.74916,0.44252,0.90124,0.000230991,0.000230991,0.000230991
75,10466.3,0.75666,0.46665,0.88676,0.87039,0.82892,0.89675,0.66597,0.74658,0.44023,0.89866,0.000222744,0.000222744,0.000222744
76,10603.7,0.74623,0.46264,0.88519,0.88425,0.81582,0.88985,0.66216,0.74577,0.44224,0.89754,0.000214497,0.000214497,0.000214497
77,10742.3,0.7485,0.46238,0.88468,0.88594,0.82864,0.89384,0.66514,0.74276,0.43928,0.89654,0.000206251,0.000206251,0.000206251
78,10881.6,0.74397,0.46181,0.88407,0.86975,0.82335,0.89168,0.66269,0.74349,0.43863,0.89591,0.000198004,0.000198004,0.000198004
79,11021.4,0.74549,0.46005,0.88329,0.89066,0.81233,0.89595,0.6665,0.74335,0.43691,0.89566,0.000189757,0.000189757,0.000189757
80,11159.7,0.74078,0.45778,0.8814,0.90181,0.80117,0.89624,0.66393,0.74183,0.43682,0.89612,0.000181511,0.000181511,0.000181511
81,11298.9,0.73418,0.45463,0.88246,0.8871,0.82144,0.89853,0.66788,0.74042,0.43516,0.8971,0.000173264,0.000173264,0.000173264
82,11440.8,0.73291,0.45279,0.87981,0.90235,0.81361,0.89527,0.66895,0.73956,0.43514,0.89673,0.000165017,0.000165017,0.000165017
83,11580,0.73154,0.45143,0.88251,0.905,0.82197,0.89808,0.6687,0.74032,0.43396,0.89714,0.000156771,0.000156771,0.000156771
84,11717.9,0.73087,0.44952,0.88047,0.90662,0.82927,0.90257,0.6716,0.73858,0.43251,0.8949,0.000148524,0.000148524,0.000148524
85,11856.1,0.72595,0.44789,0.87707,0.90885,0.82372,0.90062,0.66982,0.73651,0.43059,0.89461,0.000140277,0.000140277,0.000140277
86,11993.2,0.72856,0.44955,0.88214,0.89271,0.8284,0.89988,0.66804,0.73438,0.42961,0.8942,0.000132031,0.000132031,0.000132031
87,12131.3,0.72321,0.44475,0.87923,0.89346,0.83398,0.90325,0.67203,0.73314,0.42896,0.89378,0.000123784,0.000123784,0.000123784
88,12268.7,0.72275,0.4465,0.87839,0.90364,0.82109,0.90535,0.67468,0.73232,0.43026,0.89362,0.000115537,0.000115537,0.000115537
89,12406.6,0.72132,0.44523,0.8769,0.92029,0.81896,0.90756,0.6774,0.73041,0.42794,0.89249,0.00010729,0.00010729,0.00010729
90,12546,0.71651,0.44222,0.87544,0.91195,0.82274,0.9049,0.67516,0.72967,0.42747,0.89227,9.90437e-05,9.90437e-05,9.90437e-05
91,12727.5,0.70409,0.42258,0.86682,0.90575,0.81534,0.90002,0.66796,0.73923,0.4333,0.89463,9.0797e-05,9.0797e-05,9.0797e-05
92,12863.6,0.6851,0.41144,0.86259,0.88788,0.83752,0.89961,0.66698,0.73949,0.43349,0.89458,8.25503e-05,8.25503e-05,8.25503e-05
93,13002.2,0.67974,0.40833,0.86223,0.89627,0.83594,0.90097,0.66743,0.73711,0.43248,0.89302,7.43036e-05,7.43036e-05,7.43036e-05
94,13138.1,0.67159,0.40529,0.86051,0.90083,0.83612,0.90119,0.66887,0.73493,0.43291,0.89211,6.60569e-05,6.60569e-05,6.60569e-05
95,13275.5,0.66797,0.40299,0.85755,0.90333,0.83469,0.90177,0.67108,0.73326,0.43159,0.89152,5.78102e-05,5.78102e-05,5.78102e-05
96,13412,0.66519,0.39972,0.85739,0.90959,0.83651,0.90336,0.6743,0.733,0.43087,0.89194,4.95635e-05,4.95635e-05,4.95635e-05
97,13550.2,0.66457,0.4,0.85767,0.89791,0.8323,0.90176,0.67257,0.7322,0.43002,0.89207,4.13168e-05,4.13168e-05,4.13168e-05
98,13688.5,0.6615,0.399,0.85585,0.89128,0.83213,0.90265,0.67374,0.73108,0.42912,0.89133,3.30701e-05,3.30701e-05,3.30701e-05
99,13823.8,0.65696,0.39581,0.85731,0.89612,0.83063,0.90086,0.67294,0.73023,0.42834,0.89126,2.48234e-05,2.48234e-05,2.48234e-05
100,13962.9,0.65674,0.39726,0.8563,0.8943,0.82673,0.90239,0.67382,0.7301,0.4281,0.89132,1.65767e-05,1.65767e-05,1.65767e-05
